CDC English	CDC Spanish	NIH English	NIH Spanish
Count of CDC English matches NIH English but not Spanish: 	0
Count of CDC English has no NIH English Match: 	9
Count of NIH English has no CDC English Match: 	54
Count CDC and NIH Terms that match Both English and Spanish: 	1
2	1,2,3,4,6,7,8,9-octachlorodibenzofuran	1,2,3,4,6,7,8,9-octaclorodibenzofurano		
2	1-800-QUIT-NOW	1-855-DÉJELO-YO		
2	6 months and older	6 meses o mayores		
2	6 months and older	6 meses o más		
2	6 months and older	de 6 meses en adelante		
2	acquired immune deficiency syndrome	síndrome de inmunodeficiencia adquirida		
2	acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida		
2	acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida		
2	Adam's apple	nuez de Ada		
3			abdomen	abdomen
3			abdomen	vientre
3			acquired immune deficiency syndrome 	síndrome de inmunodeficiencia adquirida (SIDA)
3			Adam's apple	nuez de la garganta
3			ADD 	síndrome de déficit atencional
3			ADHD 	síndrome de hiperactividad y déficit atencional
3			adrenal glands	glándulas suprarrenales
3			AIDS 	SIDA (síndrome de inmunodeficiencia adquirida)
3			AIDS related complex 	complejo relacionado con el SIDA
3			ailments	enfermedades
3			ailments	padecimientos
3			AIS 	ELA (esclerosis lateral amiotrófica)
3			allergy	alergia
3			alternative medicine 	medicina alternativa
3			Alzheimer's disease	mal de Alzheimer
3			ambulance	ambulancia
3			ambulatory surgical center	centro quirúrgico para pacientes ambulatorios
3			ambulatory surgical center	centro ambulatorio de cirugía
3			amputated 	amputado(a) (la parte del cuerpo ha sido...)
3			amputation	amputación
3			amputee	persona con una amputación
3			amyotrophic lateral sclerosis 	esclerosis lateral amiotrófica (ELA)
3			analgesic	analgésico
3			anesthesia	anestesia
3			anesthesiologist 	anestesiólogo
3			anesthesiology 	anestesiología
3			ankle	tobillo
3			antidote	antídoto
3			aorta	aorta
3			aortic valve	válvula aórtica
3			aqueous humor 	humor acuoso
3			ARC 	complejo relacionado con el SIDA
3			armpits	armpits
3			arms	arms
3			arteries	arteries
3			artery 	arteria axilar
3			artery 	arteria braquial
3			artery 	arteria de carótica
3			artery 	arteria coronaria
3			artery 	arteria facial
3			artery 	arteria femoral
3			artery 	arteria pulmonar
3			artery 	arteria subclavia
3			artery 	arteria temporal
3			arthritis	artritis
3			articulation	articulación
3			assisted living	ayuda parcial
3			assisted living	viviendo con ayuda parcial
3			assisted living facility	institución de ayuda parcial
3			atrium 	aurícula
3			attention deficit disorder 	síndrome de déficit atencional
3			attention deficit hyperactivity disorder 	síndrome de hiperactividad y déficit atencional
3			axillar vein	vena axilar
3			axillary artery	arteria axilar
4	Adam's apple	nuez de Adam	Adam's apple	nuez de Adam
